cue,left,right,validity,tilt,task,corkey,logos,corkey2,tiltposx,tiltposy,dposx,dposy,Character,thepresentshape,trigger
Me,images/Circle.png,images/Diamond.png,valid,images/L_tilt.png,Self,1,You,1,-0.5,-0.11,0.5,-0.11,YOU,images/Circle.png,1
Me,images/Circle.png,images/Star.png,valid,images/L_tilt.png,Self,1,Stranger,4,-0.5,-0.11,0.5,-0.11,YOU,images/Circle.png,1
Me,images/Circle.png,images/Diamond.png,valid,images/R_tilt.png,Self,4,You,1,-0.5,-0.11,0.5,-0.11,YOU,images/Circle.png,1
Me,images/Circle.png,images/Star.png,valid,images/R_tilt.png,Self,4,Stranger,4,-0.5,-0.11,0.5,-0.11,YOU,images/Circle.png,1
Me,images/Circle.png,images/Diamond.png,valid,images/L_tilt.png,Self,1,You,1,-0.5,-0.11,0.5,-0.11,YOU,images/Circle.png,1
Me,images/Circle.png,images/Star.png,valid,images/L_tilt.png,Self,1,Stranger,4,-0.5,-0.11,0.5,-0.11,YOU,images/Circle.png,1
Me,images/Circle.png,images/Diamond.png,valid,images/R_tilt.png,Self,4,You,1,-0.5,-0.11,0.5,-0.11,YOU,images/Circle.png,1
Me,images/Circle.png,images/Star.png,valid,images/R_tilt.png,Self,4,Stranger,4,-0.5,-0.11,0.5,-0.11,YOU,images/Circle.png,1
Me,images/Diamond.png,images/Circle.png,valid,images/L_tilt.png,Self,1,You,1,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,2
Me,images/Star.png,images/Circle.png,valid,images/L_tilt.png,Self,1,Stranger,4,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,2
Me,images/Diamond.png,images/Circle.png,valid,images/R_tilt.png,Self,4,You,1,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,2
Me,images/Star.png,images/Circle.png,valid,images/R_tilt.png,Self,4,Stranger,4,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,2
Me,images/Diamond.png,images/Circle.png,valid,images/L_tilt.png,Self,1,You,1,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,2
Me,images/Star.png,images/Circle.png,valid,images/L_tilt.png,Self,1,Stranger,4,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,2
Me,images/Diamond.png,images/Circle.png,valid,images/R_tilt.png,Self,4,You,1,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,2
Me,images/Star.png,images/Circle.png,valid,images/R_tilt.png,Self,4,Stranger,4,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,2
Me,images/Circle.png,images/Diamond.png,invalid,images/L_tilt.png,Self,1,You,1,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,4
Me,images/Circle.png,images/Star.png,invalid,images/L_tilt.png,Self,1,Stranger,4,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,4
Me,images/Circle.png,images/Diamond.png,invalid,images/R_tilt.png,Self,4,You,1,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,4
Me,images/Circle.png,images/Star.png,invalid,images/R_tilt.png,Self,4,Stranger,4,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,4
Me,images/Circle.png,images/Diamond.png,invalid,images/L_tilt.png,Self,1,You,1,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,4
Me,images/Circle.png,images/Star.png,invalid,images/L_tilt.png,Self,1,Stranger,4,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,4
Me,images/Circle.png,images/Diamond.png,invalid,images/R_tilt.png,Self,4,You,1,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,4
Me,images/Circle.png,images/Star.png,invalid,images/R_tilt.png,Self,4,Stranger,4,0.5,-0.11,-0.5,-0.11,YOU,images/Circle.png,4
